step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.21616,0.55894,3.62909,0.40947
2,3.45296,0.52096,,
3,3.28208,0.50429,,
4,2.67968,0.5825,,
5,3.7759,0.45788,,
6,2.86278,0.58621,,
7,3.09646,0.53534,,
8,2.95619,0.52013,,
9,3.32775,0.50373,,
10,3.01159,0.59004,,
11,3.27802,0.52579,,
12,3.24675,0.51422,,
13,3.28009,0.50505,,
14,2.81824,0.54563,,
15,2.58587,0.576,,
16,2.80331,0.54366,,
17,2.8651,0.51483,,
18,2.59543,0.56881,,
19,2.55336,0.56972,,
20,2.63155,0.5951,,
21,2.40907,0.59109,,
22,2.76682,0.56582,,
23,2.61116,0.58124,,
24,2.47673,0.607,,
25,2.81974,0.53027,,
26,2.53894,0.58475,,
27,2.31568,0.59924,,
28,2.58399,0.5764,,
29,2.15962,0.58416,,
30,2.26466,0.60345,,
31,1.98479,0.639,,
32,2.00206,0.63279,,
33,1.71887,0.65795,,
34,2.255,0.57956,,
35,2.22854,0.60512,,
36,2.17614,0.57862,,
37,1.87,0.62222,,
38,2.45867,0.58808,,
39,2.43725,0.54276,,
40,2.37439,0.58155,,
41,2.07168,0.57143,,
42,2.12125,0.59467,,
43,1.95933,0.63391,,
44,2.11543,0.57771,,
45,2.12417,0.59571,,
46,1.84037,0.61863,,
47,2.42874,0.53976,,
48,1.75181,0.61939,,
49,2.15962,0.57647,,
50,2.05207,0.56178,,
51,2.25285,0.56634,,
52,2.36162,0.5749,,
53,1.99141,0.60789,,
54,2.13491,0.56863,,
55,2.02561,0.62624,,
56,2.19785,0.55647,,
57,2.25949,0.55435,,
58,2.09331,0.60309,,
59,2.14869,0.56838,,
60,2.0742,0.57885,,
61,1.96124,0.60714,,
62,2.01727,0.60445,,
63,2.03001,0.54654,,
64,2.176,0.57079,,
65,1.93245,0.60044,,
66,2.17311,0.57073,,
67,1.99268,0.60374,,
68,2.15683,0.57684,,
69,2.10263,0.57885,,
70,2.02538,0.60679,,
71,2.02418,0.57992,,
72,1.92901,0.58661,,
73,2.19657,0.59914,,
74,1.9844,0.60947,,
75,1.67756,0.61881,,
76,1.85531,0.6472,,
77,1.93481,0.58606,,
78,1.88863,0.63022,,
79,2.1828,0.54867,,
80,1.42336,0.70654,,
81,2.14366,0.5802,,
82,1.88785,0.60069,,
83,1.80296,0.61297,,
84,2.14329,0.583,,
85,2.44243,0.5565,,
86,2.04031,0.59363,,
87,2.09479,0.56893,,
88,1.94949,0.61612,,
89,2.07356,0.56968,,
90,2.17348,0.56926,,
91,1.85465,0.63248,,
92,2.12901,0.58855,,
93,2.16998,0.57773,,
94,2.20386,0.58213,,
95,2.11749,0.58065,,
96,2.23127,0.53275,,
97,1.79731,0.62857,,
98,1.99282,0.61569,,
99,1.91089,0.62405,,
100,1.82583,0.62156,,
101,1.77122,0.62232,2.00208,0.46407
102,1.92412,0.62201,,
103,1.84911,0.59423,,
104,1.87336,0.58435,,
105,1.78101,0.61705,,
106,2.01357,0.60087,,
107,1.7667,0.64098,,
108,1.8795,0.60814,,
109,1.67044,0.65358,,
110,2.11862,0.58757,,
111,1.87617,0.62009,,
112,1.55792,0.67181,,
